Name,Division,Seed
Phoenix,Open
Shepherds,Open
Grand Trunk,Open
NSOM,Open
Elements,Open
Red Circus,Open
Magma,Open
Maverick,Open
Borderline,Open
Shrike,Open
NADS,Open
TORO,Open
The Forgotten,Open
Magma2,Open
Quake,Open
Sherbrooke's Club,Open
BOAT,Open
Iron Crow,Open
Swift,Open
Goose,Open
Vintage,Women
Iris,Women
Salty,Women
Terra,Women
Stella,Women
Storm,Women
PPF,Women
Lotus,Women
Mystik,Women
Eclipse,Women
X-Squad,Women
Rosie,Women
Amazones,Women
Qarma,Women
Tempest,Women
TORO (W),Women
Wicked,Women
Lily,Women
Stella B,Women
EXO,Women
AERA,Women
Polaris,Women
Raft,Coed Comp
Crash,Coed Comp
Animals,Coed Comp
Quest,Coed Comp
Local 613,Coed Comp
T-Rex,Coed Comp
Zen,Coed Comp
Skerj,Coed Comp
Qrinqué,Coed Comp
El Fuego,Coed Comp
Uproar,Junior Open
Hydro,Junior Open
Ignite,Junior Open
Havoc,Junior Open
SHADS,Junior Open
Scubaru Outbacks,Junior Open
OTT,Junior Open
Titane,Junior Open
